comune,Comune,istat_codice,COD_PROV,Provincia,Città Metropolitana,SIGLA,Commissario,delibera,allegato
FONDACHELLI FANTINA,Fondachelli-Fantina,83023,83,-,Messina,ME,COCCO GIOVANNI (1962),https://www.regione.sicilia.it/sites/default/files/2023-08/DA%20n.%20357%20-%20Catasto%20Soprassuoli.pdf,https://www.regione.sicilia.it/sites/default/files/2023-08/Allegato%20A%20-%20elenco.pdf
FORZA D'AGRO',Forza d'Agrò,83024,83,-,Messina,ME,ABBINANTI ENZO,https://www.regione.sicilia.it/sites/default/files/2023-08/DA%20n.%20357%20-%20Catasto%20Soprassuoli.pdf,https://www.regione.sicilia.it/sites/default/files/2023-08/Allegato%20A%20-%20elenco.pdf
FURCI SICULO,Furci Siculo,83027,83,-,Messina,ME,COCCO GIOVANNI (1962),https://www.regione.sicilia.it/sites/default/files/2023-08/DA%20n.%20357%20-%20Catasto%20Soprassuoli.pdf,https://www.regione.sicilia.it/sites/default/files/2023-08/Allegato%20A%20-%20elenco.pdf
FURNARI,Furnari,83028,83,-,Messina,ME,MASTROLEMBO V. DOMENICO,https://www.regione.sicilia.it/sites/default/files/2023-08/DA%20n.%20357%20-%20Catasto%20Soprassuoli.pdf,https://www.regione.sicilia.it/sites/default/files/2023-08/Allegato%20A%20-%20elenco.pdf
GAGGI,Gaggi,83029,83,-,Messina,ME,MASTROLEMBO V. DOMENICO,https://www.regione.sicilia.it/sites/default/files/2023-08/DA%20n.%20357%20-%20Catasto%20Soprassuoli.pdf,https://www.regione.sicilia.it/sites/default/files/2023-08/Allegato%20A%20-%20elenco.pdf
GALLODORO,Gallodoro,83031,83,-,Messina,ME,MASTROLEMBO V. DOMENICO,https://www.regione.sicilia.it/sites/default/files/2023-08/DA%20n.%20357%20-%20Catasto%20Soprassuoli.pdf,https://www.regione.sicilia.it/sites/default/files/2023-08/Allegato%20A%20-%20elenco.pdf
GIOIOSA MAREA,Gioiosa Marea,83033,83,-,Messina,ME,MASTROLEMBO V. DOMENICO,https://www.regione.sicilia.it/sites/default/files/2023-08/DA%20n.%20357%20-%20Catasto%20Soprassuoli.pdf,https://www.regione.sicilia.it/sites/default/files/2023-08/Allegato%20A%20-%20elenco.pdf
GRANITI,Graniti,83034,83,-,Messina,ME,MASTROLEMBO V. DOMENICO,https://www.regione.sicilia.it/sites/default/files/2023-08/DA%20n.%20357%20-%20Catasto%20Soprassuoli.pdf,https://www.regione.sicilia.it/sites/default/files/2023-08/Allegato%20A%20-%20elenco.pdf
GUALTIERI SICAMINO',Gualtieri Sicaminò,83035,83,-,Messina,ME,MASTROLEMBO V. DOMENICO,https://www.regione.sicilia.it/sites/default/files/2023-08/DA%20n.%20357%20-%20Catasto%20Soprassuoli.pdf,https://www.regione.sicilia.it/sites/default/files/2023-08/Allegato%20A%20-%20elenco.pdf
ITALA,Itala,83036,83,-,Messina,ME,MASTROLEMBO V. DOMENICO,https://www.regione.sicilia.it/sites/default/files/2023-08/DA%20n.%20357%20-%20Catasto%20Soprassuoli.pdf,https://www.regione.sicilia.it/sites/default/files/2023-08/Allegato%20A%20-%20elenco.pdf
LENI,Leni,83037,83,-,Messina,ME,MASTROLEMBO V. DOMENICO,https://www.regione.sicilia.it/sites/default/files/2023-08/DA%20n.%20357%20-%20Catasto%20Soprassuoli.pdf,https://www.regione.sicilia.it/sites/default/files/2023-08/Allegato%20A%20-%20elenco.pdf
LETOJANNI,Letojanni,83038,83,-,Messina,ME,MASTROLEMBO V. DOMENICO,https://www.regione.sicilia.it/sites/default/files/2023-08/DA%20n.%20357%20-%20Catasto%20Soprassuoli.pdf,https://www.regione.sicilia.it/sites/default/files/2023-08/Allegato%20A%20-%20elenco.pdf
LIPARI,Lipari,83041,83,-,Messina,ME,MASTROLEMBO V. DOMENICO,https://www.regione.sicilia.it/sites/default/files/2023-08/DA%20n.%20357%20-%20Catasto%20Soprassuoli.pdf,https://www.regione.sicilia.it/sites/default/files/2023-08/Allegato%20A%20-%20elenco.pdf
MALVAGNA,Malvagna,83044,83,-,Messina,ME,MASTROLEMBO V. DOMENICO,https://www.regione.sicilia.it/sites/default/files/2023-08/DA%20n.%20357%20-%20Catasto%20Soprassuoli.pdf,https://www.regione.sicilia.it/sites/default/files/2023-08/Allegato%20A%20-%20elenco.pdf
MANDANICI,Mandanici,83045,83,-,Messina,ME,MASTROLEMBO V. DOMENICO,https://www.regione.sicilia.it/sites/default/files/2023-08/DA%20n.%20357%20-%20Catasto%20Soprassuoli.pdf,https://www.regione.sicilia.it/sites/default/files/2023-08/Allegato%20A%20-%20elenco.pdf
MONFORTE SAN GIORGIO,Monforte San Giorgio,83054,83,-,Messina,ME,RIELA FRANCESCO,https://www.regione.sicilia.it/sites/default/files/2023-08/DA%20n.%20357%20-%20Catasto%20Soprassuoli.pdf,https://www.regione.sicilia.it/sites/default/files/2023-08/Allegato%20A%20-%20elenco.pdf
MONGIUFFI MELIA,Mongiuffi Melia,83055,83,-,Messina,ME,RIELA FRANCESCO,https://www.regione.sicilia.it/sites/default/files/2023-08/DA%20n.%20357%20-%20Catasto%20Soprassuoli.pdf,https://www.regione.sicilia.it/sites/default/files/2023-08/Allegato%20A%20-%20elenco.pdf
MONTALBANO ELICONA,Montalbano Elicona,83057,83,-,Messina,ME,RIELA FRANCESCO,https://www.regione.sicilia.it/sites/default/files/2023-08/DA%20n.%20357%20-%20Catasto%20Soprassuoli.pdf,https://www.regione.sicilia.it/sites/default/files/2023-08/Allegato%20A%20-%20elenco.pdf
MOTTA CAMASTRA,Motta Camastra,83058,83,-,Messina,ME,RIELA FRANCESCO,https://www.regione.sicilia.it/sites/default/files/2023-08/DA%20n.%20357%20-%20Catasto%20Soprassuoli.pdf,https://www.regione.sicilia.it/sites/default/files/2023-08/Allegato%20A%20-%20elenco.pdf
NASO,Naso,83060,83,-,Messina,ME,RIELA FRANCESCO,https://www.regione.sicilia.it/sites/default/files/2023-08/DA%20n.%20357%20-%20Catasto%20Soprassuoli.pdf,https://www.regione.sicilia.it/sites/default/files/2023-08/Allegato%20A%20-%20elenco.pdf
NIZZA DI SICILIA,Nizza di Sicilia,83061,83,-,Messina,ME,RIELA FRANCESCO,https://www.regione.sicilia.it/sites/default/files/2023-08/DA%20n.%20357%20-%20Catasto%20Soprassuoli.pdf,https://www.regione.sicilia.it/sites/default/files/2023-08/Allegato%20A%20-%20elenco.pdf
NOVARA DI SICILIA,Novara di Sicilia,83062,83,-,Messina,ME,RIELA FRANCESCO,https://www.regione.sicilia.it/sites/default/files/2023-08/DA%20n.%20357%20-%20Catasto%20Soprassuoli.pdf,https://www.regione.sicilia.it/sites/default/files/2023-08/Allegato%20A%20-%20elenco.pdf
PATTI,Patti,83066,83,-,Messina,ME,SCAFIDI GIOVANNI,https://www.regione.sicilia.it/sites/default/files/2023-08/DA%20n.%20357%20-%20Catasto%20Soprassuoli.pdf,https://www.regione.sicilia.it/sites/default/files/2023-08/Allegato%20A%20-%20elenco.pdf
PETTINEO,Pettineo,83067,83,-,Messina,ME,SCAFIDI GIOVANNI,https://www.regione.sicilia.it/sites/default/files/2023-08/DA%20n.%20357%20-%20Catasto%20Soprassuoli.pdf,https://www.regione.sicilia.it/sites/default/files/2023-08/Allegato%20A%20-%20elenco.pdf
PIRAINO,Piraino,83068,83,-,Messina,ME,SCAFIDI GIOVANNI,https://www.regione.sicilia.it/sites/default/files/2023-08/DA%20n.%20357%20-%20Catasto%20Soprassuoli.pdf,https://www.regione.sicilia.it/sites/default/files/2023-08/Allegato%20A%20-%20elenco.pdf
REITANO,Reitano,83070,83,-,Messina,ME,SCAFIDI GIOVANNI,https://www.regione.sicilia.it/sites/default/files/2023-08/DA%20n.%20357%20-%20Catasto%20Soprassuoli.pdf,https://www.regione.sicilia.it/sites/default/files/2023-08/Allegato%20A%20-%20elenco.pdf
ROCCAFIORITA,Roccafiorita,83071,83,-,Messina,ME,SCAFIDI GIOVANNI,https://www.regione.sicilia.it/sites/default/files/2023-08/DA%20n.%20357%20-%20Catasto%20Soprassuoli.pdf,https://www.regione.sicilia.it/sites/default/files/2023-08/Allegato%20A%20-%20elenco.pdf
ROCCALUMERA,Roccalumera,83072,83,-,Messina,ME,RIELA FRANCESCO,https://www.regione.sicilia.it/sites/default/files/2023-08/DA%20n.%20357%20-%20Catasto%20Soprassuoli.pdf,https://www.regione.sicilia.it/sites/default/files/2023-08/Allegato%20A%20-%20elenco.pdf
RODI' MILICI,Rodì Milici,83075,83,-,Messina,ME,COCCO GIOVANNI (1965),https://www.regione.sicilia.it/sites/default/files/2023-08/DA%20n.%20357%20-%20Catasto%20Soprassuoli.pdf,https://www.regione.sicilia.it/sites/default/files/2023-08/Allegato%20A%20-%20elenco.pdf
SAN FRATELLO,San Fratello,83078,83,-,Messina,ME,SCAFIDI GIOVANNI,https://www.regione.sicilia.it/sites/default/files/2023-08/DA%20n.%20357%20-%20Catasto%20Soprassuoli.pdf,https://www.regione.sicilia.it/sites/default/files/2023-08/Allegato%20A%20-%20elenco.pdf
SAN TEODORO,San Teodoro,83090,83,-,Messina,ME,SCAFIDI GIOVANNI,https://www.regione.sicilia.it/sites/default/files/2023-08/DA%20n.%20357%20-%20Catasto%20Soprassuoli.pdf,https://www.regione.sicilia.it/sites/default/files/2023-08/Allegato%20A%20-%20elenco.pdf
SANTA MARINA SALINA,Santa Marina Salina,83087,83,-,Messina,ME,SCAFIDI GIOVANNI,https://www.regione.sicilia.it/sites/default/files/2023-08/DA%20n.%20357%20-%20Catasto%20Soprassuoli.pdf,https://www.regione.sicilia.it/sites/default/files/2023-08/Allegato%20A%20-%20elenco.pdf
SANT'AGATA DI MILITELLO,Sant'Agata di Militello,83084,83,-,Messina,ME,SCAFIDI GIOVANNI,https://www.regione.sicilia.it/sites/default/files/2023-08/DA%20n.%20357%20-%20Catasto%20Soprassuoli.pdf,https://www.regione.sicilia.it/sites/default/files/2023-08/Allegato%20A%20-%20elenco.pdf
SANT'ALESSIO SICULO,Sant'Alessio Siculo,83085,83,-,Messina,ME,COCCO GIOVANNI (1965),https://www.regione.sicilia.it/sites/default/files/2023-08/DA%20n.%20357%20-%20Catasto%20Soprassuoli.pdf,https://www.regione.sicilia.it/sites/default/files/2023-08/Allegato%20A%20-%20elenco.pdf
SANT'ANGELO DI BROLO,Sant'Angelo di Brolo,83088,83,-,Messina,ME,COCCO GIOVANNI (1965),https://www.regione.sicilia.it/sites/default/files/2023-08/DA%20n.%20357%20-%20Catasto%20Soprassuoli.pdf,https://www.regione.sicilia.it/sites/default/files/2023-08/Allegato%20A%20-%20elenco.pdf
SANTO STEFANO DI CAMASTRA,Santo Stefano di Camastra,83091,83,-,Messina,ME,COCCO GIOVANNI (1965),https://www.regione.sicilia.it/sites/default/files/2023-08/DA%20n.%20357%20-%20Catasto%20Soprassuoli.pdf,https://www.regione.sicilia.it/sites/default/files/2023-08/Allegato%20A%20-%20elenco.pdf
SAVOCA,Savoca,83093,83,-,Messina,ME,COCCO GIOVANNI (1965),https://www.regione.sicilia.it/sites/default/files/2023-08/DA%20n.%20357%20-%20Catasto%20Soprassuoli.pdf,https://www.regione.sicilia.it/sites/default/files/2023-08/Allegato%20A%20-%20elenco.pdf
SCALETTA ZANCLEA,Scaletta Zanclea,83094,83,-,Messina,ME,COCCO GIOVANNI (1965),https://www.regione.sicilia.it/sites/default/files/2023-08/DA%20n.%20357%20-%20Catasto%20Soprassuoli.pdf,https://www.regione.sicilia.it/sites/default/files/2023-08/Allegato%20A%20-%20elenco.pdf
TAORMINA,Taormina,83097,83,-,Messina,ME,COCCO GIOVANNI (1965),https://www.regione.sicilia.it/sites/default/files/2023-08/DA%20n.%20357%20-%20Catasto%20Soprassuoli.pdf,https://www.regione.sicilia.it/sites/default/files/2023-08/Allegato%20A%20-%20elenco.pdf
TERME VIGLIATORE,Terme Vigliatore,83106,83,-,Messina,ME,COCCO GIOVANNI (1965),https://www.regione.sicilia.it/sites/default/files/2023-08/DA%20n.%20357%20-%20Catasto%20Soprassuoli.pdf,https://www.regione.sicilia.it/sites/default/files/2023-08/Allegato%20A%20-%20elenco.pdf
TORREGROTTA,Torregrotta,83098,83,-,Messina,ME,COCCO GIOVANNI (1965),https://www.regione.sicilia.it/sites/default/files/2023-08/DA%20n.%20357%20-%20Catasto%20Soprassuoli.pdf,https://www.regione.sicilia.it/sites/default/files/2023-08/Allegato%20A%20-%20elenco.pdf
TORRENOVA,Torrenova,83108,83,-,Messina,ME,COCCO GIOVANNI (1965),https://www.regione.sicilia.it/sites/default/files/2023-08/DA%20n.%20357%20-%20Catasto%20Soprassuoli.pdf,https://www.regione.sicilia.it/sites/default/files/2023-08/Allegato%20A%20-%20elenco.pdf
VALDINA,Valdina,83103,83,-,Messina,ME,COCCO GIOVANNI (1965),https://www.regione.sicilia.it/sites/default/files/2023-08/DA%20n.%20357%20-%20Catasto%20Soprassuoli.pdf,https://www.regione.sicilia.it/sites/default/files/2023-08/Allegato%20A%20-%20elenco.pdf
VENETICO,Venetico,83104,83,-,Messina,ME,COCCO GIOVANNI (1965),https://www.regione.sicilia.it/sites/default/files/2023-08/DA%20n.%20357%20-%20Catasto%20Soprassuoli.pdf,https://www.regione.sicilia.it/sites/default/files/2023-08/Allegato%20A%20-%20elenco.pdf
VILLAFRANCA TIRRENA,Villafranca Tirrena,83105,83,-,Messina,ME,COCCO GIOVANNI (1965),https://www.regione.sicilia.it/sites/default/files/2023-08/DA%20n.%20357%20-%20Catasto%20Soprassuoli.pdf,https://www.regione.sicilia.it/sites/default/files/2023-08/Allegato%20A%20-%20elenco.pdf
CACCAMO,Caccamo,82014,82,-,Palermo,PA,RIELA FRANCESCO,https://www.regione.sicilia.it/sites/default/files/2023-08/DA%20n.%20357%20-%20Catasto%20Soprassuoli.pdf,https://www.regione.sicilia.it/sites/default/files/2023-08/Allegato%20A%20-%20elenco.pdf
CALTAVUTURO,Caltavuturo,82015,82,-,Palermo,PA,SAJEVA ANGELO,https://www.regione.sicilia.it/sites/default/files/2023-08/DA%20n.%20357%20-%20Catasto%20Soprassuoli.pdf,https://www.regione.sicilia.it/sites/default/files/2023-08/Allegato%20A%20-%20elenco.pdf
CAMPOFELICE DI FITALIA,Campofelice di Fitalia,82016,82,-,Palermo,PA,SAJEVA ANGELO,https://www.regione.sicilia.it/sites/default/files/2023-08/DA%20n.%20357%20-%20Catasto%20Soprassuoli.pdf,https://www.regione.sicilia.it/sites/default/files/2023-08/Allegato%20A%20-%20elenco.pdf
CAMPOREALE,Camporeale,82019,82,-,Palermo,PA,SAJEVA ANGELO,https://www.regione.sicilia.it/sites/default/files/2023-08/DA%20n.%20357%20-%20Catasto%20Soprassuoli.pdf,https://www.regione.sicilia.it/sites/default/files/2023-08/Allegato%20A%20-%20elenco.pdf
CASTELDACCIA,Casteldaccia,82023,82,-,Palermo,PA,SAJEVA ANGELO,https://www.regione.sicilia.it/sites/default/files/2023-08/DA%20n.%20357%20-%20Catasto%20Soprassuoli.pdf,https://www.regione.sicilia.it/sites/default/files/2023-08/Allegato%20A%20-%20elenco.pdf
CEFALU',Cefalù,82027,82,-,Palermo,PA,SAJEVA ANGELO,https://www.regione.sicilia.it/sites/default/files/2023-08/DA%20n.%20357%20-%20Catasto%20Soprassuoli.pdf,https://www.regione.sicilia.it/sites/default/files/2023-08/Allegato%20A%20-%20elenco.pdf
CONTESSA ENTELLINA,Contessa Entellina,82033,82,-,Palermo,PA,PANZECA ANTONELLA,https://www.regione.sicilia.it/sites/default/files/2023-08/DA%20n.%20357%20-%20Catasto%20Soprassuoli.pdf,https://www.regione.sicilia.it/sites/default/files/2023-08/Allegato%20A%20-%20elenco.pdf
GIULIANA,Giuliana,82039,82,-,Palermo,PA,PANZECA ANTONELLA,https://www.regione.sicilia.it/sites/default/files/2023-08/DA%20n.%20357%20-%20Catasto%20Soprassuoli.pdf,https://www.regione.sicilia.it/sites/default/files/2023-08/Allegato%20A%20-%20elenco.pdf
ROCCAPALUMBA,Roccapalumba,82062,82,-,Palermo,PA,PANZECA ANTONELLA,https://www.regione.sicilia.it/sites/default/files/2023-08/DA%20n.%20357%20-%20Catasto%20Soprassuoli.pdf,https://www.regione.sicilia.it/sites/default/files/2023-08/Allegato%20A%20-%20elenco.pdf
SAN MAURO CASTELVERDE,San Mauro Castelverde,82065,82,-,Palermo,PA,PANZECA ANTONELLA,https://www.regione.sicilia.it/sites/default/files/2023-08/DA%20n.%20357%20-%20Catasto%20Soprassuoli.pdf,https://www.regione.sicilia.it/sites/default/files/2023-08/Allegato%20A%20-%20elenco.pdf
SANTA CRISTINA GELA,Santa Cristina Gela,82066,82,-,Palermo,PA,PANZECA ANTONELLA,https://www.regione.sicilia.it/sites/default/files/2023-08/DA%20n.%20357%20-%20Catasto%20Soprassuoli.pdf,https://www.regione.sicilia.it/sites/default/files/2023-08/Allegato%20A%20-%20elenco.pdf
SANTA FLAVIA,Santa Flavia,82067,82,-,Palermo,PA,PANZECA ANTONELLA,https://www.regione.sicilia.it/sites/default/files/2023-08/DA%20n.%20357%20-%20Catasto%20Soprassuoli.pdf,https://www.regione.sicilia.it/sites/default/files/2023-08/Allegato%20A%20-%20elenco.pdf
TERRASINI,Terrasini,82071,82,-,Palermo,PA,PANZECA ANTONELLA,https://www.regione.sicilia.it/sites/default/files/2023-08/DA%20n.%20357%20-%20Catasto%20Soprassuoli.pdf,https://www.regione.sicilia.it/sites/default/files/2023-08/Allegato%20A%20-%20elenco.pdf
TORRETTA,Torretta,82072,82,-,Palermo,PA,PANZECA ANTONELLA,https://www.regione.sicilia.it/sites/default/files/2023-08/DA%20n.%20357%20-%20Catasto%20Soprassuoli.pdf,https://www.regione.sicilia.it/sites/default/files/2023-08/Allegato%20A%20-%20elenco.pdf
VICARI,Vicari,82078,82,-,Palermo,PA,PANZECA ANTONELLA,https://www.regione.sicilia.it/sites/default/files/2023-08/DA%20n.%20357%20-%20Catasto%20Soprassuoli.pdf,https://www.regione.sicilia.it/sites/default/files/2023-08/Allegato%20A%20-%20elenco.pdf
AUGUSTA,Augusta,89001,89,Siracusa,-,SR,SAJEVA ANGELO,https://www.regione.sicilia.it/sites/default/files/2023-08/DA%20n.%20357%20-%20Catasto%20Soprassuoli.pdf,https://www.regione.sicilia.it/sites/default/files/2023-08/Allegato%20A%20-%20elenco.pdf
CARLENTINI,Carlentini,89006,89,Siracusa,-,SR,SAJEVA ANGELO,https://www.regione.sicilia.it/sites/default/files/2023-08/DA%20n.%20357%20-%20Catasto%20Soprassuoli.pdf,https://www.regione.sicilia.it/sites/default/files/2023-08/Allegato%20A%20-%20elenco.pdf
FLORIDIA,Floridia,89009,89,Siracusa,-,SR,PANZECA ANTONELLA,https://www.regione.sicilia.it/sites/default/files/2023-08/DA%20n.%20357%20-%20Catasto%20Soprassuoli.pdf,https://www.regione.sicilia.it/sites/default/files/2023-08/Allegato%20A%20-%20elenco.pdf
FRANCOFONTE,Francofonte,89010,89,Siracusa,-,SR,SAJEVA ANGELO,https://www.regione.sicilia.it/sites/default/files/2023-08/DA%20n.%20357%20-%20Catasto%20Soprassuoli.pdf,https://www.regione.sicilia.it/sites/default/files/2023-08/Allegato%20A%20-%20elenco.pdf
ROSOLINI,Rosolini,89016,89,Siracusa,-,SR,SAJEVA ANGELO,https://www.regione.sicilia.it/sites/default/files/2023-08/DA%20n.%20357%20-%20Catasto%20Soprassuoli.pdf,https://www.regione.sicilia.it/sites/default/files/2023-08/Allegato%20A%20-%20elenco.pdf
SIRACUSA,Siracusa,89017,89,Siracusa,-,SR,SAJEVA ANGELO,https://www.regione.sicilia.it/sites/default/files/2023-08/DA%20n.%20357%20-%20Catasto%20Soprassuoli.pdf,https://www.regione.sicilia.it/sites/default/files/2023-08/Allegato%20A%20-%20elenco.pdf
PARTANNA,Partanna,81015,81,Trapani,-,TP,TERRANOVA GIUSEPPE,https://www.regione.sicilia.it/sites/default/files/2023-08/DA%20n.%20357%20-%20Catasto%20Soprassuoli.pdf,https://www.regione.sicilia.it/sites/default/files/2023-08/Allegato%20A%20-%20elenco.pdf
SAN VITO LO CAPO,San Vito Lo Capo,81020,81,Trapani,-,TP,TERRANOVA GIUSEPPE,https://www.regione.sicilia.it/sites/default/files/2023-08/DA%20n.%20357%20-%20Catasto%20Soprassuoli.pdf,https://www.regione.sicilia.it/sites/default/files/2023-08/Allegato%20A%20-%20elenco.pdf
TRAPANI,Trapani,81021,81,Trapani,-,TP,TERRANOVA GIUSEPPE,https://www.regione.sicilia.it/sites/default/files/2023-08/DA%20n.%20357%20-%20Catasto%20Soprassuoli.pdf,https://www.regione.sicilia.it/sites/default/files/2023-08/Allegato%20A%20-%20elenco.pdf
VALDERICE,Valderice,81022,81,Trapani,-,TP,TERRANOVA GIUSEPPE,https://www.regione.sicilia.it/sites/default/files/2023-08/DA%20n.%20357%20-%20Catasto%20Soprassuoli.pdf,https://www.regione.sicilia.it/sites/default/files/2023-08/Allegato%20A%20-%20elenco.pdf
VITA,Vita,81023,81,Trapani,-,TP,TERRANOVA GIUSEPPE,https://www.regione.sicilia.it/sites/default/files/2023-08/DA%20n.%20357%20-%20Catasto%20Soprassuoli.pdf,https://www.regione.sicilia.it/sites/default/files/2023-08/Allegato%20A%20-%20elenco.pdf
BARCELLONA P.G.,Barcellona Pozzo di Gotto,83005,83,-,Messina,ME,D'AMATO FILIPPA,https://www.regione.sicilia.it/sites/default/files/2023-08/DA%20n.%20357%20-%20Catasto%20Soprassuoli.pdf,https://www.regione.sicilia.it/sites/default/files/2023-08/Allegato%20A%20-%20elenco.pdf
FRANCAVILLA,Francavilla di Sicilia,83025,83,-,Messina,ME,COCCO GIOVANNI (1962),https://www.regione.sicilia.it/sites/default/files/2023-08/DA%20n.%20357%20-%20Catasto%20Soprassuoli.pdf,https://www.regione.sicilia.it/sites/default/files/2023-08/Allegato%20A%20-%20elenco.pdf
CASTRONOVO,Castronovo di Sicilia,82025,82,-,Palermo,PA,SAJEVA ANGELO,https://www.regione.sicilia.it/sites/default/files/2023-08/DA%20n.%20357%20-%20Catasto%20Soprassuoli.pdf,https://www.regione.sicilia.it/sites/default/files/2023-08/Allegato%20A%20-%20elenco.pdf